Team,Championships,State
Anaheim Ducks,1,CA
Boston Bruins,6,MA
Carolina Hurricanes,1,NC
Chicago Black Hawks,6,IL
Colorado Avalanche,2,CO
Dallas Stars,1,TX
Detroit Red Wings,11,MI
Los Angeles Kings,2,CA
New Jersey Devils,3,NJ
New York Islanders,4,NY
New York Rangers,4,NY
Philadelphia Flyers,2,PA
Pittsburgh Penguins,5,PA
Tampa Bay Lightning,1,FL
Washington Capitals,1,DC
